GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
5487,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNPEELED POTATOES, SUNFLOWER OIL, SEA SALT."
6163,2.99,"Pickles, Olives, Peppers & Relishes",,28.0,g,1 ONZ,,"GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES., GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES."
10894,1.99,Tomatoes,,130.0,g,0.5 cup,,"ORGANIC TOMATOES, ORGANIC TOMATO JUICE FROM CONCENTRATE (WATER, ORGANIC TOMATO CONCENTRATE), SEA SALT, CITRIC ACID, CALCIUM CHLORIDE"
15165,6.99,Baking Additives & Extracts,,,,,,BAKING POWDER
35927,3.99,Canned Seafood,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38232,6.99,"Pickles, Olives, Peppers & Relishes",,14.0,g,,,"OLIVES STUFFED WITH PIMENTO PASTE, WATER, SALT, VINEGAR (CONTAINS SULFITES), SODIUM ALGINATE, GUAR GUM."
38409,1.99,Canned Meat,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
57813,3.49,Dips & Salsa,,28.0,g,,,"BLACK BEANS, WATER, TOMATO PASTE, ONIONS, DISTILLED VINEGAR (FROM CORN), HONEY, SALT, JALAPENOS, SPICES, GARLIC."
67867,1.99,Water,,240.0,ml,,,NATURAL MOUNTAIN SPRING WATER
73448,1.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",,0.6000000238418579,g,,,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL, ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. "
96362,0.99,Canned & Bottled Beans,,125.0,g,,,"BLACK BEANS, WATER, SALT. "
124935,3.49,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"SPARKLING APPLE JUICE (FROM RIPE, FRESH, WHOLE APPLES), ASCORBIC ACID (VITAMIN C)."
128001,5.99,Other Condiments,,15.0,ml,1 Tbsp,,"WINE VINEGAR, COOKED GRAPE MUST."
197151,2.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,34.0,g,2 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE). SUGAR, DISTILLED VINEGAR, CORNSTARCH, SALT, SPICE, MOLASSES, NATURAL FLAVOR, CARAMEL COLOR, ONION, GARLIC."
201186,2.99,Wholesome Snacks,,40.0,g,1.5 ONZ,,PITTED CALIFORNIA DRIED PLUMS.
218887,3.99,"Ketchup, Mustard, BBQ & Cheese Sauce",,5.0,g,1 tsp,,"WATER, MUSTARD SEEDS, DISTILLED VINEGAR, WHITE WINE (CONTAINS SULFITES), SALT, CITRIC ACID."
244725,2.49,Other Cooking Sauces,,15.0,ml,1 Tbsp,,"CERTIFIED ORGANIC UNFILTERED APPLE CIDER VINEGAR, DILUTED WITH WATER TO 5% (50 GRAINS) ACIDITY."
246545,2.49,"Pickles, Olives, Peppers & Relishes",,15.0,g,2 Tbsp,,"CAPERS, WINE VINEGAR (CONTAINS SULFITES), WATER, SALT."
265058,3.99,Wholesome Snacks,,44.0,g,0.333 cup,,"MONTMORENCY TART CHERRIES,, SUGAR, SUNFLOWER OIL."
265102,3.99,Wholesome Snacks,,43.0,g,0.333 cup,,"DRIED CHERRIES (CHERRIES, SUCROSE, SUNFLOWER OIL), DRIED BLUEBERRIES (BLUEBERRIES, SUCROSE, SUNFLOWER OIL), DRIED STRAWBERRIES (STRAWBERRIES, SUGAR, ASCORBIC ACID (VITAMIN C), SUNFLOWER OIL)."
270427,3.99,"Granulated, Brown & Powdered Sugar",,4.0,g,1 tsp,,ORGANIC CANE SUGAR.
302159,3.49,Dips & Salsa,,30.0,g,2 Tbsp,,"PEACHES, TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, ONIONS, ASSORTED CHILES AND PEPPERS, EVAPORATED CANE JUICE (SUGAR), CHIPOTLE PEPPERS, APPLE CIDER VINEGAR, LEMON JUICE (FROM CONCENTRATE), SALT, SPICES."
