GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
35927,3.99,Canned Seafood,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38409,1.99,Canned Meat,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
57813,3.49,Dips & Salsa,,28.0,g,,,"BLACK BEANS, WATER, TOMATO PASTE, ONIONS, DISTILLED VINEGAR (FROM CORN), HONEY, SALT, JALAPENOS, SPICES, GARLIC."
62176,3.49,Cream,,30.0,ml,,,"MILK, CREAM, MILK, CREAM."
79204,2.49,Other Deli,,170.0,g,,6 oz/170 g,"MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES, FILLING: MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES. PASTRY: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM, SALT), SUNFLOWER OIL, WATER, SALT, SOY LECITHIN."
93187,2.29,"Oriental, Mexican & Ethnic Sauces",,125.0,g,,,"TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, LIGHT CREAM (MILK), ONIONS, GINGER, GARLIC, CANOLA OIL, LEMON JUICE CONCENTRATE, SEA SALT, CORIANDER, CUMIN, FENUGREEK LEAVES, TURMERIC, PAPRIKA, RED PEPPER, CINNAMON, CLOVES."
99080,3.79,Rice,,42.0,g,,,"SUPERFINO ARBORIO RICE, ONIONS***, MUSHROOM***, SALT, CORN STARCH, AUTOLYZED YEAST, SOY SAUCE* (SOYBEANS, WHEAT, SALT), DEXTROSE, CHABLIS WINE*, WHEY (MILK PROTEIN), SUGAR, CHICKEN FAT*, CHERVIL**, SOYBEAN OIL, PARSLEY**, NATURAL FLAVOR (NONHYDROLYZED FERMENTED YEAST), TURMERIC*, CELERY EXTRACT."
101424,7.99,"Frozen Breakfast Sandwiches, Biscuits & Meals",,170.0,g,1 quiche,,"INGREDIENTS: FILLING (HALF AND HALF [MILK, CREAM], CHEDDAR CHEESE [MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (COLOR)], BROCCOLI, LIQUID WHOLE EGGS, CORNSTARCH, DRIED ONIONS, SEASONING [SALT, SPICES], DRIED GARLIC), PASTRY (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], BUTTER [CREAM, SALT], SUNFLOWER OIL, WATER, SALT), SUNFLOWER OIL (SUNFLOWER OIL, SUNFLOWER LECITHIN)."
133036,2.99,Cereal,,30.0,g,0.667 CUP | ABOUT,,"WHEAT BRAN, CORN FLOUR, CORN BRAN, DEHYDRATED CANE JUICE CRYSTALS (NATURAL MILLED SUGAR), WHOLE WHEAT FLOUR, OAT BRAN, WHEY (MILK), SALT, CARAMEL COLOR, VITAMINS AND IRON: VITAMIN C, IRON, NIACIN, VITAMIN A, VITAMIN B6, RIBOFLAVIN (VITAMIN B2), THIAMIN (VITAMIN B1), FOLIC ACID, VITAMIN D, WHEAT BRAN, CORN FLOUR, CORN BRAN, DEHYDRATED CANE JUICE CRYSTALS (NATURAL MILLED SUGAR), WHOLE WHEAT FLOUR, OAT BRAN, WHEY (MILK), SALT, CARAMEL COLOR, VITAMINS AND IRON: VITAMIN C, IRON, NIACIN, VITAMIN A, VITAMIN B6, RIBOFLAVIN (VITAMIN B2), THIAMIN (VITAMIN B1), FOLIC ACID, VITAMIN D."
164399,3.79,"Cake, Cookie & Cupcake Mixes",,28.0,g,3 Tbsp,,"SUGAR, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, (EMULSIFIER), VANILLA EXTRACT), UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, MAY CONTAIN MALTED BARLEY FLOUR), COCOA (PROCESSED WITH ALKALI), WHEAT STARCH, SOYBEAN OIL, SALT, LEAVENING (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE)."
