GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
5487,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNPEELED POTATOES, SUNFLOWER OIL, SEA SALT."
6163,2.99,"Pickles, Olives, Peppers & Relishes",,28.0,g,1 ONZ,,"GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES., GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES."
10894,1.99,Tomatoes,,130.0,g,0.5 cup,,"ORGANIC TOMATOES, ORGANIC TOMATO JUICE FROM CONCENTRATE (WATER, ORGANIC TOMATO CONCENTRATE), SEA SALT, CITRIC ACID, CALCIUM CHLORIDE"
14816,4.99,Salad Dressing & Mayonnaise,,15.0,g,,,"WATER, EXPELLER PRESSED CANOLA OIL, CORNSTARCH, DISTILLED VINEGAR, APPLE CIDER VINEGAR, SALT, SOY PROTEIN ISOLATE, XANTHAN GUM, LEMON JUICE CONCENTRATE, ONION POWDER, MIXED TOCOPHEROLS (VITAMIN E) AND ROSEMARY EXTRACT FOR FRESHNESS, MUSTARD OIL, OLEORESIN PAPRIKA, OLEORESIN TURMERIC."
14885,2.49,Nut & Seed Butters,,32.0,g,,16 oz/1 lbs/454 g,"DRY ROASTED PEANUTS, SALT. "
15165,6.99,Baking Additives & Extracts,,,,,,BAKING POWDER
35927,3.99,Canned Seafood,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38232,6.99,"Pickles, Olives, Peppers & Relishes",,14.0,g,,,"OLIVES STUFFED WITH PIMENTO PASTE, WATER, SALT, VINEGAR (CONTAINS SULFITES), SODIUM ALGINATE, GUAR GUM."
38409,1.99,Canned Meat,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
48569,2.99,Cereal,,40.0,g,,,ORGANIC WHOLE GRAIN ROLLED OATS.
57813,3.49,Dips & Salsa,,28.0,g,,,"BLACK BEANS, WATER, TOMATO PASTE, ONIONS, DISTILLED VINEGAR (FROM CORN), HONEY, SALT, JALAPENOS, SPICES, GARLIC."
62176,3.49,Cream,,30.0,ml,,,"MILK, CREAM, MILK, CREAM."
67867,1.99,Water,,240.0,ml,,,NATURAL MOUNTAIN SPRING WATER
73448,1.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",,0.6000000238418579,g,,,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL, ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. "
75374,1.99,Pasta by Shape & Type,,45.0,g,,,WHOLE DURUM WHEAT SEMOLINA.
79204,2.49,Other Deli,,170.0,g,,6 oz/170 g,"MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES, FILLING: MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES. PASTRY: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM, SALT), SUNFLOWER OIL, WATER, SALT, SOY LECITHIN."
79969,5.99,"Popcorn, Peanuts, Seeds & Related Snacks",,30.0,g,,,"ALMONDS, SALT."
93187,2.29,"Oriental, Mexican & Ethnic Sauces",,125.0,g,,,"TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, LIGHT CREAM (MILK), ONIONS, GINGER, GARLIC, CANOLA OIL, LEMON JUICE CONCENTRATE, SEA SALT, CORIANDER, CUMIN, FENUGREEK LEAVES, TURMERIC, PAPRIKA, RED PEPPER, CINNAMON, CLOVES."
96362,0.99,Canned & Bottled Beans,,125.0,g,,,"BLACK BEANS, WATER, SALT. "
97079,2.99,Vegetable & Cooking Oils,,0.25,g,,,"100 % EXTRA VIRGIN OLIVE 0% SOY LECITHIN, AND PROPELLANT. (NO CHLOROFLUOROCARBONS)"
