GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
5487,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNPEELED POTATOES, SUNFLOWER OIL, SEA SALT."
14816,4.99,Salad Dressing & Mayonnaise,,15.0,g,,,"WATER, EXPELLER PRESSED CANOLA OIL, CORNSTARCH, DISTILLED VINEGAR, APPLE CIDER VINEGAR, SALT, SOY PROTEIN ISOLATE, XANTHAN GUM, LEMON JUICE CONCENTRATE, ONION POWDER, MIXED TOCOPHEROLS (VITAMIN E) AND ROSEMARY EXTRACT FOR FRESHNESS, MUSTARD OIL, OLEORESIN PAPRIKA, OLEORESIN TURMERIC."
14885,2.49,Nut & Seed Butters,,32.0,g,,16 oz/1 lbs/454 g,"DRY ROASTED PEANUTS, SALT. "
35927,3.99,Canned Seafood,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38409,1.99,Canned Meat,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
57813,3.49,Dips & Salsa,,28.0,g,,,"BLACK BEANS, WATER, TOMATO PASTE, ONIONS, DISTILLED VINEGAR (FROM CORN), HONEY, SALT, JALAPENOS, SPICES, GARLIC."
62176,3.49,Cream,,30.0,ml,,,"MILK, CREAM, MILK, CREAM."
73448,1.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",,0.6000000238418579,g,,,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL, ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. "
79204,2.49,Other Deli,,170.0,g,,6 oz/170 g,"MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES, FILLING: MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES. PASTRY: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM, SALT), SUNFLOWER OIL, WATER, SALT, SOY LECITHIN."
79969,5.99,"Popcorn, Peanuts, Seeds & Related Snacks",,30.0,g,,,"ALMONDS, SALT."
93187,2.29,"Oriental, Mexican & Ethnic Sauces",,125.0,g,,,"TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, LIGHT CREAM (MILK), ONIONS, GINGER, GARLIC, CANOLA OIL, LEMON JUICE CONCENTRATE, SEA SALT, CORIANDER, CUMIN, FENUGREEK LEAVES, TURMERIC, PAPRIKA, RED PEPPER, CINNAMON, CLOVES."
99080,3.79,Rice,,42.0,g,,,"SUPERFINO ARBORIO RICE, ONIONS***, MUSHROOM***, SALT, CORN STARCH, AUTOLYZED YEAST, SOY SAUCE* (SOYBEANS, WHEAT, SALT), DEXTROSE, CHABLIS WINE*, WHEY (MILK PROTEIN), SUGAR, CHICKEN FAT*, CHERVIL**, SOYBEAN OIL, PARSLEY**, NATURAL FLAVOR (NONHYDROLYZED FERMENTED YEAST), TURMERIC*, CELERY EXTRACT."
101424,7.99,"Frozen Breakfast Sandwiches, Biscuits & Meals",,170.0,g,1 quiche,,"INGREDIENTS: FILLING (HALF AND HALF [MILK, CREAM], CHEDDAR CHEESE [MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (COLOR)], BROCCOLI, LIQUID WHOLE EGGS, CORNSTARCH, DRIED ONIONS, SEASONING [SALT, SPICES], DRIED GARLIC), PASTRY (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], BUTTER [CREAM, SALT], SUNFLOWER OIL, WATER, SALT), SUNFLOWER OIL (SUNFLOWER OIL, SUNFLOWER LECITHIN)."
133036,2.99,Cereal,,30.0,g,0.667 CUP | ABOUT,,"WHEAT BRAN, CORN FLOUR, CORN BRAN, DEHYDRATED CANE JUICE CRYSTALS (NATURAL MILLED SUGAR), WHOLE WHEAT FLOUR, OAT BRAN, WHEY (MILK), SALT, CARAMEL COLOR, VITAMINS AND IRON: VITAMIN C, IRON, NIACIN, VITAMIN A, VITAMIN B6, RIBOFLAVIN (VITAMIN B2), THIAMIN (VITAMIN B1), FOLIC ACID, VITAMIN D, WHEAT BRAN, CORN FLOUR, CORN BRAN, DEHYDRATED CANE JUICE CRYSTALS (NATURAL MILLED SUGAR), WHOLE WHEAT FLOUR, OAT BRAN, WHEY (MILK), SALT, CARAMEL COLOR, VITAMINS AND IRON: VITAMIN C, IRON, NIACIN, VITAMIN A, VITAMIN B6, RIBOFLAVIN (VITAMIN B2), THIAMIN (VITAMIN B1), FOLIC ACID, VITAMIN D."
146739,1.69,Mexican Dinner Mixes,,48.0,g,1 TORTILLA,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR), WATER, HIGH OLEIC SUNFLOWER OIL, CONTAINS 2% OR LESS OF THE FOLLOWING: FOR ADDED FRESHNESS (CULTURED WHEAT FLOUR WITH VINEGAR ADDED), SALT, SOY LECITHIN (AN EMULSIFIER), LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, MONOCALCIUM PHOSPHATE), CITRIC ACID."
164399,3.79,"Cake, Cookie & Cupcake Mixes",,28.0,g,3 Tbsp,,"SUGAR, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, (EMULSIFIER), VANILLA EXTRACT), UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, MAY CONTAIN MALTED BARLEY FLOUR), COCOA (PROCESSED WITH ALKALI), WHEAT STARCH, SOYBEAN OIL, SALT, LEAVENING (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE)."
177054,2.99,Cereal,,50.0,g,0.5 cup,,"WHOLE ROLLED BARLEY FLAKES, WHOLE ROLLED RYE FLAKES, BLUEBERRIES (BLUEBERRIES, SUGAR, SUNFLOWER OIL), CRISP RICE (RICE, SUGAR, SALT, BARLEY MALT), RAISINS, ORGANIC CORN FLAKES (ORGANIC CORN FLOUR, SALT), CURRANTS, DRIED APPLES, NATURAL BLUEBERRY FLAVOR."
180993,2.99,"Chips, Pretzels & Snacks",,28.0,g,50 STICKS | ABOUT,,"POTATO FLOUR, EXPELLER PRESSED SUNFLOWER AND/OR SAFFLOWER OIL, WHEAT FLOUR, RICE FLOUR, TOMATO POWDER, SPINACH POWDER, SEA SALT, TURMERIC."
187572,4.19,"Oriental, Mexican & Ethnic Sauces",,5.0,g,1 tsp,,"CONCENTRATED CRUSHED TOMATOES, GRATED HORSERADISH ROOT, SUGAR, DISTILLED VINEGAR, CAYENNE PEPPER, SPICES (WITH SOYBEAN OIL AS PROCESSING AID), ONION, SALT, GARLIC, XANTHAN GUM, GUAR GUM."
212564,4.49,Cream,,15.0,ml,1 Tbsp,,"HEAVY CREAM, CARRAGEENAN (CONTAINS MILK). "
248983,3.49,Crackers & Biscotti,,15.0,g,4 CRACKERS,,"ENRICHED WHEAT FLOUR, (FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUNFLOWER OIL, SALT, SUGAR."
259255,3.99,"Cake, Cookie & Cupcake Mixes",,60.0,g,0.5 cup,,"ENRICHED UNBLEACHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR, MAY CONTAIN ENZYMES, ASCORBIC ACID), SOYBEAN OIL, BUTTERMILK, DEXTROSE, CONTAINS 2% OR LESS OF THE FOLLOWING: SODIUM BICARBONATE, CALCIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE, SALT. "
265058,3.99,Wholesome Snacks,,44.0,g,0.333 cup,,"MONTMORENCY TART CHERRIES,, SUGAR, SUNFLOWER OIL."
265102,3.99,Wholesome Snacks,,43.0,g,0.333 cup,,"DRIED CHERRIES (CHERRIES, SUCROSE, SUNFLOWER OIL), DRIED BLUEBERRIES (BLUEBERRIES, SUCROSE, SUNFLOWER OIL), DRIED STRAWBERRIES (STRAWBERRIES, SUGAR, ASCORBIC ACID (VITAMIN C), SUNFLOWER OIL)."
276771,2.79,Salad Dressing & Mayonnaise,,5.0,g,1 tsp,,"MUSTARD SEED, DISTILLED VINEGAR GARLIC, WATER, SOYBEAN OIL, MUSTARD FLOUR, EGGS, SPICES (ALLSPICE, TURMERIC), SALT, LEMON JUICE."
290906,2.49,Other Soups,,240.0,ml,1 cup,,"ORGANIC REDUCED FAT MILK, WATER, ORGANIC TOMATO PASTE, ORGANIC CANE SUGAR, SEA SALT, SODIUM CITRATE, ORGANIC RICE FLOUR, ORGANIC CHEESE FLAVOR (ORGANIC CHEDDAR CHEESE [PASTEURIZED MILK, CULTURES, SALT, ENZYMES], WATER, SALT, SODIUM CITRATE, XANTHAM GUM), ORGANIC GARLIC POWDER, ORGANIC ONION POWDER."
335485,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNBLEACHED ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE B1, RIBOFLAVIN-B2, FOLIC ACID), ORGANIC SOYBEAN OIL, OAT BRAN, SESAME SEED, YELLOW CORN MEAL, BARLEY MALT, RYE, SALT, YEAST."
360845,3.29,"French Fries, Potatoes & Onion Rings",,75.0,g,2 PANCAKES,,"POTATOES, ONIONS, WATER, DEHYDRATED POTATOES, CANOLA OIL, MATZOH MEAL (WHEAT), EGG WHITES, EGG, SALT, WHITE PEPPER."
375313,1.99,Wholesome Snacks,,40.0,g,0.25 cup,,"ORGANIC CRANBERRIES, ORGANIC SUGAR, ORGANIC SUNFLOWER OIL."
