GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
5487,3.99,"Chips, Pretzels & Snacks",,28.0,g,1 ONZ,,"UNPEELED POTATOES, SUNFLOWER OIL, SEA SALT."
6163,2.99,"Pickles, Olives, Peppers & Relishes",,28.0,g,1 ONZ,,"GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES., GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES."
10894,1.99,Tomatoes,,130.0,g,0.5 cup,,"ORGANIC TOMATOES, ORGANIC TOMATO JUICE FROM CONCENTRATE (WATER, ORGANIC TOMATO CONCENTRATE), SEA SALT, CITRIC ACID, CALCIUM CHLORIDE"
14816,4.99,Salad Dressing & Mayonnaise,,15.0,g,,,"WATER, EXPELLER PRESSED CANOLA OIL, CORNSTARCH, DISTILLED VINEGAR, APPLE CIDER VINEGAR, SALT, SOY PROTEIN ISOLATE, XANTHAN GUM, LEMON JUICE CONCENTRATE, ONION POWDER, MIXED TOCOPHEROLS (VITAMIN E) AND ROSEMARY EXTRACT FOR FRESHNESS, MUSTARD OIL, OLEORESIN PAPRIKA, OLEORESIN TURMERIC."
14885,2.49,Nut & Seed Butters,,32.0,g,,16 oz/1 lbs/454 g,"DRY ROASTED PEANUTS, SALT. "
15165,6.99,Baking Additives & Extracts,,,,,,BAKING POWDER
38232,6.99,"Pickles, Olives, Peppers & Relishes",,14.0,g,,,"OLIVES STUFFED WITH PIMENTO PASTE, WATER, SALT, VINEGAR (CONTAINS SULFITES), SODIUM ALGINATE, GUAR GUM."
48569,2.99,Cereal,,40.0,g,,,ORGANIC WHOLE GRAIN ROLLED OATS.
67867,1.99,Water,,240.0,ml,,,NATURAL MOUNTAIN SPRING WATER
73448,1.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",,0.6000000238418579,g,,,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL, ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. "
75374,1.99,Pasta by Shape & Type,,45.0,g,,,WHOLE DURUM WHEAT SEMOLINA.
79969,5.99,"Popcorn, Peanuts, Seeds & Related Snacks",,30.0,g,,,"ALMONDS, SALT."
96362,0.99,Canned & Bottled Beans,,125.0,g,,,"BLACK BEANS, WATER, SALT. "
97079,2.99,Vegetable & Cooking Oils,,0.25,g,,,"100 % EXTRA VIRGIN OLIVE 0% SOY LECITHIN, AND PROPELLANT. (NO CHLOROFLUOROCARBONS)"
104876,1.99,Breads & Buns,,56.0,g,2 PITAS,,"WHOLE WHEAT FLOUR, UNBLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, VITAMIN C [ASCORBIC ACID AS A DOUGH CONDITIONER], ENZYME, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SAT, WHEAT GLUTEN, YEAST, WHITE DISTILLED VINEGAR."
124935,3.49,"Fruit & Vegetable Juice, Nectars & Fruit Drinks",,240.0,ml,8 OZA,,"SPARKLING APPLE JUICE (FROM RIPE, FRESH, WHOLE APPLES), ASCORBIC ACID (VITAMIN C)."
128001,5.99,Other Condiments,,15.0,ml,1 Tbsp,,"WINE VINEGAR, COOKED GRAPE MUST."
146739,1.69,Mexican Dinner Mixes,,48.0,g,1 TORTILLA,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR), WATER, HIGH OLEIC SUNFLOWER OIL, CONTAINS 2% OR LESS OF THE FOLLOWING: FOR ADDED FRESHNESS (CULTURED WHEAT FLOUR WITH VINEGAR ADDED), SALT, SOY LECITHIN (AN EMULSIFIER), LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, MONOCALCIUM PHOSPHATE), CITRIC ACID."
