Name,GTIN/UPC,Price,ingredients
"POTATO CHIPS, SEA SALT",5487,3.99,
"TRADER JOE'S, CORNICHONS",6163,2.99,"GHERKINS (CUCUMBERS), WATER, VINEGAR, SALT, ONIONS,MUSTGARD SEEDS, TARRAGON, GARLIC PEPPER, NATURAL FLAVOR, CONTAINS SULFITIES."
"ORGANIC TOMATOES, DICED IN TOMATO JUICE",10894,1.99,
REDUCED FAT MAYO DRESSING,14816,4.99,
"PEANUT BUTTER, CRUNCHY SALTED",14885,2.49,
BAKING POWDER,15165,6.99,BAKING POWDER
WILD ALASKAN PINK SALMON,35927,3.99,
STUFFED QUEEN SEVILLANO OLIVES,38232,6.99,
PREMIUM CHUNK WHITE CHICKEN IN BROTH,38409,1.99,
OVEN TOASTED OLD FASHIONED ORGANIC OATS,48569,2.99,
"TRADE JOE'S, SPICY BLACK BEAN DIP",57813,3.49,
HALF & HALF,62176,3.49,"MILK, CREAM"
NATURAL MOUNTAIN SPRING WATER,67867,1.99,
21 SEASONING SALUTE,73448,1.99,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL"
"TRADER JOE'S, WHOLE DURUM WHEAT COUS COUS",75374,1.99,
"QUICHE, SPINACH, MUSHROOM & CHEESE, SPINACH, MUSHROOM & CHEESE",79204,2.49,"MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES"
"TRADER JOE'S, DRY ROASTED & SALTED ALMONDS",79969,5.99,
"TRADER JOE'S, MASALA SIMMER SAUCE",93187,2.29,
BLACK BEANS,96362,0.99,
"TRADER JOE'S, ITALIAN OLIVE OIL SPRAY",97079,2.99,
"TRADER JOE'S, MUSHROOM & HERB RISOTTO",99080,3.79,
"BROCCOLI & CHEDDAR CHEESE QUICHE, BROCCOLI & CHEDDAR CHEESE",101424,7.99,
"TRADER JOE'S, MINI PITA POCKETS, WHEAT",104876,1.99,
"TRADER JOE'S, 100% JUICE, SPARKLING APPLE CIDER",124935,3.49,
"TRADER JOE'S, BALSAMIC VINEGAR",128001,5.99,
