GTIN/UPC,Name,Branded Food Category,Brand Owner,Brand,Market Country,Price,,
502627,ORGANIC BLACK BEANS,Canned & Bottled Beans,TRADER JOE'S,,United States,0.89,,
344753,"TRADER JOE'S, SPARKLING MINERAL WATER",Water,Denteco Inc.,TRADER JOE'S,United States,0.99,,
345347,"TRADER JOE'S, SPARKLING MINERAL WATER, ORANGE",Water,TRADER JOE'S,,United States,0.99,,
507653,"TRADER JOE'S, SMALL WHOLE GRAIN LENTILS",Vegetable and Lentil Mixes,Waymart Knitting Co.,TRADER JOE'S,United States,0.99,,
772914,GREEK YOGURT,Yogurt,TRADER JOE'S,,United States,0.99,,
96362,BLACK BEANS,Canned & Bottled Beans,Perfect Pumpkin Patterns,TRADER JOE'S,United States,0.99,,
513999,"STRAWBERRY ORGANIC LOWFAT YOGURT, STRAWBERRY",Yogurt,Yule Tree Farms LLC,TRADER JOE'S,United States,0.99,,
930895,TACO SEASONING MIX,"Seasoning Mixes, Salts, Marinades & Tenderizers","Made-For-Dog Videos, Inc.",TRADER JOE'S,United States,0.99,,
502641,"TRADER JOE'S, ORGANIC KIDNEY BEANS",Canned & Bottled Beans,Harvest Hill Beverage Company,TRADER JOE'S,United States,1.19,,
531863,"TRADER JOE'S, CANNELLINI WHITE KIDNEY BEANS",Canned & Bottled Beans,Hsu's Ginseng Enterprises Inc.,TRADER JOE'S,United States,1.19,,
502610,ORGANIC GARBANZO BEANS,Canned & Bottled Beans,TRADER JOE'S,,United States,1.19,,
448642,BLACK BEANS,Canned & Bottled Beans,Cumberland Packing Corp.,TRADER JOE'S,United States,1.19,,
939966,"VANILLA LOWFAT YOGURT WITH ALMONDS, VANILLA WITH ALMONDS",Yogurt,"Inland Marine Usa, Inc.",TRADER JOE'S,United States,1.19,,
969307,"TRADER JOE'S, SEA SALT & TURBINADO SUGAR DARK CHOCOLATE ALMONDS","Popcorn, Peanuts, Seeds & Related Snacks",Eazypower Corporation,TRADER JOE'S,United States,1.49,,
146739,FLOUR TORTILLAS,Mexican Dinner Mixes,TRADER JOE'S,,United States,1.69,,
574747,SAUCE,"Oriental, Mexican & Ethnic Sauces",TRADER JOE'S,,United States,1.69,,
502375,"TRADER JOE'S, ORGANIC YELLOW MUSTARD","Ketchup, Mustard, BBQ & Cheese Sauce",Al-Len Pattern Co.,TRADER JOE'S,United States,1.79,,
334068,"TRADER JOE'S, INSTANT MISO SOUP",Other Soups,Riviana Foods Inc.,TRADER JOE'S,United States,1.89,,
993432,"TRADER JOE'S, DIJON MUSTARD","Ketchup, Mustard, BBQ & Cheese Sauce","Bond Food Products Co., Inc.",TRADER JOE'S,United States,1.99,,
809979,"TRADER JOE'S, DRIED CRANBERRIES",Wholesome Snacks,Buffalo Chips,TRADER JOE'S,United States,1.99,,
958363,"TRADER JOE'S, ALBACORE TUNA IN WATER",Canned Tuna,TRADER JOE'S,,United States,1.99,,
104876,"TRADER JOE'S, MINI PITA POCKETS, WHEAT",Breads & Buns,"Beaverton Foods, Inc.",TRADER JOE'S,United States,1.99,,
67867,"TRADER JOE'S, NATURAL MOUNTAIN SPRING WATER",Water,Sparkling Lighting Mfg. Co. Ltd.,TRADER JOE'S,United States,1.99,,
908597,"TRADER JOE'S, SAVORY BROTH, CHICKEN, CHICKEN",Canned Soup,Smoke Less Reminder Tabs,TRADER JOE'S,United States,1.99,,
532143,"TRADER JOE'S, UNSWEETENED ORIGINAL ALMOND BEVERAGE",Plant Based Milk,3M Company,TRADER JOE'S,United States,1.99,,
362870,"TRADER JOE'S, VEGETABLE RADIATORE ORGANIC PASTA",Pasta by Shape & Type,The Heat Shield Co.,TRADER JOE'S,United States,1.99,,
544528,"TRADER JOE'S, GREEN CHILES, FRE ROASTED, DICED",Chili & Stew,TRADER JOE'S,,United States,1.99,,
599658,"TRADER JOE'S, THAI GREEN CURRY SIMMER SAUCE","Oriental, Mexican & Ethnic Sauces",TRADER JOE'S,,United States,1.99,,
946407,"TRADER JOE'S, DELI STYLE SPICY BROWN MUSTARD","Ketchup, Mustard, BBQ & Cheese Sauce",Eazypower Corporation,TRADER JOE'S,United States,1.99,,
345323,"TRADER JOE'S, SPARKLING MINERAL WATER, LEMON, LEMON",Water,McKesson Water Products Company,TRADER JOE'S,United States,1.99,,
75374,"TRADER JOE'S, WHOLE DURUM WHEAT COUS COUS",Pasta by Shape & Type,"Y I, Inc.",TRADER JOE'S,United States,1.99,,
345453,"TRADER JOE'S, SPARKLING MINERAL WATER, MIXED BERRY, MIXED BERRY",Water,F G Industries Inc.,TRADER JOE'S,United States,1.99,,
375313,ORGANIC DRIED FRUIT CRANBERRIES,Wholesome Snacks,TRADER JOE'S,,United States,1.99,,
10894,"ORGANIC TOMATOES, DICED IN TOMATO JUICE",Tomatoes,TRADER JOE'S,,United States,1.99,,
931847,85% CACAO THE DARK CHOCOLATE LOVER'S CHOCOLATE BAR,Chocolate,Imagix Corp.,TRADER JOE'S,United States,1.99,,
508575,"ALMOND BEVERAGE, ORIGINAL",Plant Based Milk,"Top Of The Rock Records, Inc.",TRADER JOE'S,United States,1.99,,
532150,"ALMOND BEVERAGE, UNSWEETENED VANILLA",Plant Based Water,Haddock's Fishing Supplies,TRADER JOE'S,United States,1.99,,
948043,CONDENSED CREAM OF PORTABELLA MUSHROOM SOUP,Other Soups,"Toulouse Foods, Inc.",TRADER JOE'S,United States,1.99,,
876209,NON-DAIRY SOY CREAMER,Milk Additives,Arling Lumber Co. Inc.,TRADER JOE'S,United States,1.99,,
353786,ORIENTAL RICE CRACKERS,Crackers & Biscotti,Gallery Cosmetics Ltd.,TRADER JOE'S,United States,1.99,,
38409,PREMIUM CHUNK WHITE CHICKEN IN BROTH,Canned Meat,Edward Leeds & Company,TRADER JOE'S,United States,1.99,,
670104,"TRADER JOE'S, SOY BEVERAGE",Plant Based Milk,TRADER JOE'S,,United States,2.29,,
525442,"TRADER JOE'S, ORGANIC COCONUT WATER",Plant Based Water,TRADER JOE'S,,United States,2.29,,
93187,"TRADER JOE'S, MASALA SIMMER SAUCE","Oriental, Mexican & Ethnic Sauces","New Holland Company, Inc.",TRADER JOE'S,United States,2.29,,
913690,"TRADER JOE'S, SATAY PEANUT SAUCE","Oriental, Mexican & Ethnic Sauces",Rhythm U.S.A. Inc.,TRADER JOE'S,United States,2.29,,
467698,"TRADER JOE'S, UNSWEETENED GREEN TEA",Iced & Bottle Tea,Del Sol Charcoal Co.,TRADER JOE'S,United States,2.29,,
525121,GREEN TEA MIX,Powdered Drinks,TRADER JOE'S,,United States,2.29,,
907040,FLAKES & CLUSTERS CEREAL,Cereal,"Orly International, Inc.",TRADER JOE'S,United States,2.29,,
987417,SOFT & JUICY MANGO,Wholesome Snacks,Honeywell International Inc.,TRADER JOE'S,United States,2.29,,
987059,WHOLE GRAIN CRUNCH CEREAL,Cereal,"Cosmo Cosmetics, Inc.",TRADER JOE'S,United States,2.29,,
246545,"TRADER JOE'S, CAPERS IN VINEGAR","Pickles, Olives, Peppers & Relishes",TRADER JOE'S,,United States,2.49,,
598491,"TRADER JOE'S, DARK CHOCOLATE",Chocolate,TRADER JOE'S,,United States,2.49,,
501194,"TRADER JOE'S, LENTIL SOUP",Canned Soup,Scimeca's Food Dist,TRADER JOE'S,United States,2.49,,
