GTIN/UPC,Price,Branded Food Category,fdc_id,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
14816,4.99,Salad Dressing & Mayonnaise,1333642.0,,15.0,g,,,"WATER, EXPELLER PRESSED CANOLA OIL, CORNSTARCH, DISTILLED VINEGAR, APPLE CIDER VINEGAR, SALT, SOY PROTEIN ISOLATE, XANTHAN GUM, LEMON JUICE CONCENTRATE, ONION POWDER, MIXED TOCOPHEROLS (VITAMIN E) AND ROSEMARY EXTRACT FOR FRESHNESS, MUSTARD OIL, OLEORESIN PAPRIKA, OLEORESIN TURMERIC."
14885,2.49,Nut & Seed Butters,1861941.0,,32.0,g,,16 oz/1 lbs/454 g,"DRY ROASTED PEANUTS, SALT. "
35927,3.99,Canned Seafood,1196240.0,,63.0,g,,,"ALASKAN PINK SALMON, SALT."
38409,1.99,Canned Meat,1207511.0,,61.0,g,,,"WHITE CHICKEN, CHICKEN BROTH, SALT."
62176,3.49,Cream,1298296.0,,30.0,ml,,,"MILK, CREAM, MILK, CREAM."
73448,1.99,"Seasoning Mixes, Salts, Marinades & Tenderizers",1198397.0,,0.6000000238418579,g,,,"ONION, BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER, GARLIC, CARROT, ORANGE PEEL, TOMATO, LEMON JUICE AND LEMON OIL, ONION, SPICES (BLACK PEPPER, CELERY SEED, CAYENNE PEPPER, PARSLEY, BASIL, MARJORAM, BAY LEAF, OREGANO, THYME, SAVORY, ROSEMARY, CUMIN, MUSTARD, CORIANDER), GARLIC, CARROT, ORANGE PEEL, TOMATO GRANULES, LEMON JUICE POWDER, OIL OF LEMON, CITRIC ACID. "
79204,2.49,Other Deli,1872868.0,,170.0,g,,6 oz/170 g,"MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES, FILLING: MILK, EGGS, SWISS CHEESE (CULTURED PART SKIM MILK, SALT, MICROBIAL RENNET), HALF AND HALF (MILK AND CREAM), MUSHROOMS, CORN STARCH, SPINACH, DEHYDRATED ONIONS, CHIVES, SLAT, SPICES. PASTRY: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (CREAM, SALT), SUNFLOWER OIL, WATER, SALT, SOY LECITHIN."
79969,5.99,"Popcorn, Peanuts, Seeds & Related Snacks",1171884.0,,30.0,g,,,"ALMONDS, SALT."
93187,2.29,"Oriental, Mexican & Ethnic Sauces",1207418.0,,125.0,g,,,"TOMATO PUREE (TOMATO PASTE, WATER), TOMATOES, LIGHT CREAM (MILK), ONIONS, GINGER, GARLIC, CANOLA OIL, LEMON JUICE CONCENTRATE, SEA SALT, CORIANDER, CUMIN, FENUGREEK LEAVES, TURMERIC, PAPRIKA, RED PEPPER, CINNAMON, CLOVES."
101424,7.99,"Frozen Breakfast Sandwiches, Biscuits & Meals",963391.0,,170.0,g,1 quiche,,"INGREDIENTS: FILLING (HALF AND HALF [MILK, CREAM], CHEDDAR CHEESE [MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (COLOR)], BROCCOLI, LIQUID WHOLE EGGS, CORNSTARCH, DRIED ONIONS, SEASONING [SALT, SPICES], DRIED GARLIC), PASTRY (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], BUTTER [CREAM, SALT], SUNFLOWER OIL, WATER, SALT), SUNFLOWER OIL (SUNFLOWER OIL, SUNFLOWER LECITHIN)."
146739,1.69,Mexican Dinner Mixes,492868.0,,48.0,g,1 TORTILLA,,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID, MALTED BARLEY FLOUR), WATER, HIGH OLEIC SUNFLOWER OIL, CONTAINS 2% OR LESS OF THE FOLLOWING: FOR ADDED FRESHNESS (CULTURED WHEAT FLOUR WITH VINEGAR ADDED), SALT, SOY LECITHIN (AN EMULSIFIER), LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, MONOCALCIUM PHOSPHATE), CITRIC ACID."
187572,4.19,"Oriental, Mexican & Ethnic Sauces",397536.0,,5.0,g,1 tsp,,"CONCENTRATED CRUSHED TOMATOES, GRATED HORSERADISH ROOT, SUGAR, DISTILLED VINEGAR, CAYENNE PEPPER, SPICES (WITH SOYBEAN OIL AS PROCESSING AID), ONION, SALT, GARLIC, XANTHAN GUM, GUAR GUM."
212564,4.49,Cream,420357.0,,15.0,ml,1 Tbsp,,"HEAVY CREAM, CARRAGEENAN (CONTAINS MILK). "
276771,2.79,Salad Dressing & Mayonnaise,392838.0,,5.0,g,1 tsp,,"MUSTARD SEED, DISTILLED VINEGAR GARLIC, WATER, SOYBEAN OIL, MUSTARD FLOUR, EGGS, SPICES (ALLSPICE, TURMERIC), SALT, LEMON JUICE."
381086,2.49,"Ketchup, Mustard, BBQ & Cheese Sauce",397541.0,,30.0,g,2 Tbsp,,"WATER, EXPELLER PRESSED CANOLA OIL, SWEET PICKLE RELISH (CURED CUCUMBERS, CAULIFLOWER, SUGAR, DISTILLED VINEGAR, SALT, BELL PEPPERS, CELERY SEED, MUSTARD SEED, TURMERIC, XANTHAN GUM), EGG WHITES, CREOLE MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, SPICES), JALAPENOS (RED JALAPENOS, SALT, ACETIC ACID), EGG YOLK, HORSERADISH (GRATED HORSERADISH ROOTS, DISTILLED VINEGAR, WATER, SALT, SOYBEAN OIL, MODIFIED CORN STARCH, CITRIC ACID, FLAVORING), CORN STARCH, LEMON JUICE CONCENTRATE, ONIONS, DISTILLED VINEGAR, SALT, GARLIC PUREE, DILL, XANTHAN GUM, SPICE, OLEORESIN PAPRIKA., WATER, EXPELLER PRESSED CANOLA OIL, SWEET PICKLE RELISH (CURED CUCUMBERS, CAULIFLOWER, SUGAR, DISTILLED VINEGAR, SALT, BELL PEPPERS, CELERY SEED, MUSTARD SEED, TURMERIC, XANTHAN GUM), EGG WHITES, CREOLE MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, SPICES), JALAPENOS (RED JALAPENOS, SALT, ACETIC ACID), EGG YOLK, HORSERADISH (GRATED HORSERADISH ROOTS, DISTILLED VINEGAR, WATER, SALT, SOYBEAN OIL, MODIFIED CORN STARCH, CITRIC ACID, FLAVORING), CORN STARCH, LEMON JUICE CONCENTRATE, ONIONS, DISTILLED VINEGAR, SALT, GARLIC PUREE, DILL, XANTHAN GUM, SPICE, OLEORESIN PAPRIKA."
396851,3.99,Other Cooking Sauces,397461.0,,15.0,g,1 Tbsp,,"SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), PINEAPPLE JUICE FROM CONCENTRATE, SUGAR, GARLIC PUREE (GARLIC, WATER, CITRIC ACID), ORGANIC SOYBEAN OIL, WHITE VINEGAR, SESAME SEEDS, GINGER PUREE, ONION, SESAME OIL, GARLIC, ONION POWDER, GINGER POWDER."
414340,2.69,Yogurt,359350.0,,170.0,g,1 CONTAINER,,"CULTURED PASTEURIZED ORGANIC LOW FAT MILK, NATURALLY MILLED ORGANIC SUGAR, ORGANIC STRAWBERRIES, PECTIN, ORGANIC BEET JUICE CONCENTRATE (FOR COLOR), NATURAL FLAVOR, VITAMIN D3. CONTAINS LIVE ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS, AND L. CASEI."
417181,2.99,Cheese,403427.0,,61.0,g,"1 PACKET, MAKES ABOUT 3/4 CUP",,"ORGANIC WHEAT MACARONI, CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, MICROBIAL ENZYMES), WHEY, BUTTERMILK, CREAM, SALT, CORN STARCH, SODIUM PHOSPHATE."
429597,3.79,Yogurt,373598.0,,170.0,g,6 ONZ,,"ORGANIC CULTURED PASTEURIZED REDUCED FAT MILK, ORGANIC BLUEBERRY FRUIT BASE (ORGANIC BLUEBERRIES, ORGANIC CANE SUGAR, NATURAL FLAVOR, ORGANIC LOCUST BEAN GUM, PECTIN), LIVE ACTIVE CULTURES: L. ACIDOPHILUS, BIFIDUS, L. BULGARICUS, S. THERMOPHILUS, L. RHAMNOSUS. CULTURED AFTER PASTEURIZATION."
434652,3.99,Canned Meat,397615.0,,71.0,g,0.33 cup,,"CHICKEN BREAST MEAT, WATER, SALT."
475594,2.99,Vegetable & Cooking Oils,492816.0,,0.25,g,0.333 SEC. SPRAY | ABOUT,,"100% EXPELLER PRESSED CANOLA OIL, SOY LECITHIN, WATER AND PROPELLANT. (NO CHLOROFLUORCARBONS)"
480857,2.49,Canned & Bottled Beans,397474.0,,142.0,g,5 ONZ,,"WATER, TOMATOES, LENTILS, RED KIDNEY BEANS, ONION, CREAM (MILK), SALT, BUTTER, SUNFLOWER OIL, GINGER, RED CHILIES, CUMIN."
501019,2.99,"Snack, Energy & Granola Bars",373610.0,,37.0,g,1 BAR,,"PUMPKIN FILLING (BROWN RICE SYRUP, ORGANIC DRIED CANE SYRUP, APPLE POWDER, PUMPKIN, GLYCERIN, MODIFIED FOOD STARCH, PECTIN, NATURAL FLAVOR, WATER, CITRIC ACID, CINNAMON, NUTMEG, ANNATTO EXTRACT FOR COLOR, GINGER, ALLSPICE), WHEAT FLAVOR, EVAPORATED CANE SYRUP, INVERT CANE SYRUP, EXPELLER PRESSED CANOLA OIL, OAT FLOUR, WHEAT BRAN, NATURAL FLAVORS (BUTTER, VANILLA, CITRUS), WHEAT GLUTEN, HONEY, CINNAMON, ORGANIC NONFAT DRY MILK, BAKING SODA, CREAM OF TARTAR, MALTODEXTRIN (FROM CORN), SOY LECITHIN (EMULSIFIER), SEA SALT, CARRAGEENAN, CLOVES, SOYBEAN OIL, ANNATTO AND TURMERIC (FOR COLOR). NUTRITION BLEND: NIACIN, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), RIBOFLAVIN, VITAMIN B1 (THIAMIN HYDROCHLORIDE), FOLIC ACID, SODIUM SELENATE, VITAMIN B12 (CYANOCOBALAMINE)."
501194,2.49,Canned Soup,397646.0,,245.0,g,1 cup,,"WATER, LENTILS, CARROTS, POTATOES, LEEKS, ONIONS, SPINACH, MODIFIED CORN STARCH, WHEAT FLOUR, AUTOLYZED YEAST EXTRACT, SALT, OLIVE OIL, TOMATO PASTE, SPIRIT VINEGAR, THICKENER (GUAR GUM), SUGAR, ASCORBIC ACID (VITAMIN C), SPICES, GARLIC."
505000,4.99,Vegetable & Cooking Oils,357021.0,,0.25,g,0.333 SECOND SPRAY,,"MECHANICALLY-PRESSED, REFINED ORGANIC COCONUT OIL, SOY LECITHIN, NATURAL FLAVORS, PROPELLANT (NO CHLOROFLUOROCARBONS)."
507295,4.49,Nut & Seed Butters,360092.0,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507318,2.49,Nut & Seed Butters,357456.0,,32.0,g,2 Tbsp,,ORGANIC PEANUTS.
507516,4.49,"Ketchup, Mustard, BBQ & Cheese Sauce",392823.0,,17.0,g,1 Tbsp,,"TOMATO PUREE (WATER, TOMATO PASTE), ONION PUREE, SUGAR, MOLASSES, WHITE VINEGAR, HORSERADISH (HORSERADISH, VINEGAR, WATER, SALT , SOYBEAN OIL), SALT, SOYBEAN OIL, ORANGE JUICE CONCENTRATE, LEMON JUICE CONCENTRATE, ANCHOVY PASTE (SALTED ANCHOVIES, OLIVE OIL, ACETIC ACID), ROASTED GARLIC PUREE (GARLIC, WATER, NATURAL FLAVOR, CITRIC ACID), JALAPENO PUREE (JALAPENO PEPPERS, VINEGAR, SALT), SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), NATURAL GRILL FLAVOR, NATURAL MALT FLAVOR, ANCHO CHILI POWDER, NATURAL HICKORY SMOKE FLAVOR, GROUND MUSTARD SEED, BLACK PEPPER, CARAMEL COLOR, CLOVES, XANTHAN GUM."
508575,1.99,Plant Based Milk,495557.0,,240.0,ml,1 cup,,"ALMOND BASE (FILTERED WATER, ALMONDS), TRICALCIUM PHOSPHATE, SEA SALT, GELLAN GUM, DIPOTASSIUM PHOSPHATE, XANTHAN GUM, SUNFLOWER LECITHIN, VITAMIN A PALMITATE, VITAMIN D2, D-ALPHA TOCOPHEROL (VITAMIN E). "
