"Vitamin A, IU (IU)","Iron, Fe (mg)",Total lipid (fat) (g),"Vitamin C, total ascorbic acid (mg)","Fiber, total dietary (g)","Fatty acids, total saturated (g)","Calcium, Ca (mg)","Vitamin D (D2 + D3), International Units (IU)",Protein (g),Cholesterol (mg),"Sodium, Na (mg)",Energy (kcal),"Fatty acids, total trans (g)",Total Sugars (g),"Carbohydrate, by difference (g)",fdc_id,"Fatty acids, total polyunsaturated (g)","Fatty acids, total monounsaturated (g)","Potassium, K (mg)","Fiber, insoluble (g)","Fiber, soluble (g)",Thiamin (mg),Vitamin B-12 (µg),"Selenium, Se (µg)",Vitamin B-6 (mg),"Folate, total (µg)",Riboflavin (mg),Niacin (mg),"Copper, Cu (mg)","Zinc, Zn (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Manganese, Mn (mg)",Vitamin A (µg)
265.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,11.5,4.0,363.0,62.0,0.0,3.54,4.42,356707,,,,,,,,,,,,,,,,,,
,,0.0,,,0.0,,,0.0,,0.0,375.0,,100.0,100.0,357010,,,,,,,,,,,,,,,,,,
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,357021,,,,,,,,,,,,,,,,,,
0.0,1.2,15.0,4.0,6.7,0.0,67.0,,6.67,0.0,533.0,233.0,0.0,0.0,16.67,357023,,,,,,,,,,,,,,,,,,
0.0,6.43,3.57,0.0,10.7,0.0,143.0,,17.86,0.0,464.0,214.0,0.0,0.0,25.0,357024,,,,,,,,,,,,,,,,,,
357.0,2.57,0.89,2.1,3.6,0.0,36.0,,12.5,0.0,27.0,357.0,0.0,1.79,73.21,357115,,,,,,,,,,,,,,,,,,
0.0,2.25,50.0,0.0,9.4,6.25,62.0,,25.0,0.0,16.0,594.0,0.0,3.12,21.88,357456,12.5,21.88,,,,,,,,,,,,,,,,
0.0,2.4,3.33,0.0,3.3,0.0,67.0,,10.0,0.0,567.0,400.0,0.0,3.33,83.33,357793,,,,,,,,,,,,,,,,,,
0.0,1.2,5.33,3.2,4.0,0.67,67.0,,4.67,0.0,407.0,140.0,0.0,0.0,18.0,358189,,,,,,,,,,,,,,,,,,
0.0,3.21,2.68,0.0,8.9,0.0,36.0,,12.5,0.0,0.0,375.0,0.0,3.57,73.21,359333,,,,,,,,,,,,,,,,,,
0.0,3.18,1.18,0.0,3.5,0.0,47.0,,10.59,0.0,318.0,259.0,0.0,7.06,52.94,359334,,,,,,,,,,,,,,,,,,
59.0,0.0,1.76,0.0,0.6,0.88,176.0,35.0,4.71,9.0,71.0,94.0,0.0,15.88,15.88,359350,,,224.0,,,,,,,,,,,,,,,
0.0,0.0,0.0,7.1,0.0,0.0,0.0,,0.0,0.0,882.0,88.0,0.0,11.76,17.65,359429,,,,,,,,,,,,,,,,,,
0.0,1.29,32.14,21.4,3.6,3.57,0.0,,7.14,0.0,375.0,536.0,0.0,0.0,57.14,359586,3.57,25.0,1536.0,,,,,,,,,,,,,,,
357.0,3.86,28.57,0.0,14.3,3.57,143.0,,21.43,0.0,179.0,464.0,0.0,0.0,46.43,359884,12.5,12.5,,11.0,4.0,,,,,,,,,,,,,
595.0,1.71,7.14,0.0,3.6,0.6,24.0,,5.95,0.0,417.0,202.0,0.0,2.38,26.19,359939,,,,,,,,,,,,,,,,,,
0.0,2.25,50.0,0.0,9.4,6.25,62.0,,25.0,0.0,16.0,594.0,0.0,3.12,21.88,360092,12.5,21.88,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,5.3,0.0,35.0,,3.51,0.0,316.0,211.0,0.0,0.0,49.12,360980,,,,,,,,,,,,,,,,,,
714.0,0.0,17.86,0.0,0.0,12.5,357.0,,17.86,71.0,929.0,250.0,0.0,0.0,3.57,362301,,,,,,,,,,,,,,,,,,
0.0,1.26,3.51,10.5,8.8,0.0,35.0,,10.53,0.0,509.0,281.0,0.0,7.02,52.63,363147,,,,,,,,,,,,,,,,,,
1071.0,0.0,35.71,0.0,0.0,21.43,714.0,,25.0,107.0,679.0,429.0,0.0,0.0,3.57,363148,,,,,,,,,,,,,,,,,,
